loss,accuracy,val_loss,val_accuracy
1.6243293285369873,0.4357142746448517,1.3006728887557983,0.4571428596973419
1.0653302669525146,0.6714285612106323,0.7383902668952942,0.8285714387893677
0.6087154150009155,0.8678571581840515,0.48411962389945984,0.8999999761581421
0.3811201751232147,0.9178571701049805,0.373900830745697,0.8999999761581421
0.2607283592224121,0.9714285731315613,0.28310468792915344,0.9428571462631226
0.21998000144958496,0.9892857074737549,0.3531607985496521,0.9285714030265808
0.16913650929927826,0.9892857074737549,0.2844301462173462,0.9428571462631226
0.15579648315906525,0.9928571581840515,0.3432627320289612,0.9142857193946838
0.15798619389533997,0.9892857074737549,0.3158215582370758,0.9571428298950195
0.13132859766483307,0.9928571581840515,0.23809678852558136,0.9571428298950195
0.12208086997270584,1.0,0.2691915035247803,0.9285714030265808
0.1199224591255188,0.9964285492897034,0.291640043258667,0.9285714030265808
0.11439090222120285,0.9964285492897034,0.30781424045562744,0.9571428298950195
0.10293937474489212,0.9964285492897034,0.28089404106140137,0.9571428298950195
0.09687598794698715,1.0,0.2250540405511856,0.9571428298950195
0.09268848598003387,1.0,0.2617587745189667,0.9571428298950195
0.08978237956762314,0.9964285492897034,0.22157078981399536,0.9571428298950195
0.09152330458164215,0.9964285492897034,0.2324778437614441,0.9571428298950195
0.07779651135206223,1.0,0.23208296298980713,0.9571428298950195
0.07513654232025146,1.0,0.16138702630996704,0.9714285731315613
0.07035508751869202,1.0,0.16015706956386566,0.9571428298950195
0.06693841516971588,1.0,0.1650388538837433,0.9428571462631226
0.06475388258695602,1.0,0.15874730050563812,0.9571428298950195
0.060878243297338486,1.0,0.15461020171642303,0.9571428298950195
0.057521507143974304,1.0,0.15019656717777252,0.9571428298950195
0.05559748038649559,1.0,0.15178282558918,0.9571428298950195
0.05240389332175255,1.0,0.16362662613391876,0.9571428298950195
0.05001199617981911,1.0,0.14684192836284637,0.9714285731315613
0.04845144599676132,1.0,0.14761535823345184,0.9571428298950195
0.04492344334721565,1.0,0.15861400961875916,0.9571428298950195
